,Indie,Rock,Pop/Rock,Pop,Singer-Songwriter,Electronic,Club/Dance,Alternative,Metal,Rap,Heavy Metal,Dance-Pop,Contemporary Pop/Rock,Contemporary R&B,R&B,Dance,Soul,Adult Alternative Pop/Rock,Alternative/Indie Rock,Indie Rock,Alternative Singer/Songwriter,Country,Contemporary Country,Contemporary Rap,Alternative Pop/Rock,Country-Pop,Folk,Hardcore Rap,Pop-Rap,Southern Rap
Indie,0.0,4.938652708243689,6.886067686697785,3.7134938283052015,1.4366631684397286,3.705782594224325,3.965936539370166,1.5673769722397246,1.7714162080574314,5.152710364548319,3.807634599254528,4.274794789577941,4.153039274553445,4.334946903663035,4.80151010427736,2.56273341120261,3.935143855952661,4.30734201963193,5.811627570450086,4.282150907967471,4.2125115462687726,4.529971829972566,4.8029144167077105,4.237531070653959,4.611400982985847,4.556796497131226,2.8799813376059955,4.306736937906167,4.144953287652562,4.210281280261498
Rock,4.938652708243689,0.0,7.844082629651166,5.572109048452231,4.632458496259592,5.170451853368372,5.605759144777565,4.694892595803793,4.6400151831155485,6.4544736240150185,5.479043726642459,5.675896330809416,5.747097236556946,5.790031129971073,6.043445369147673,4.717230236164975,5.548666625397448,5.880414324227818,7.078269630983136,5.911315669731342,5.862427319925079,6.045644269745117,6.17766059183494,5.89693637084293,6.142353812449768,6.032269120593678,4.919185117924708,5.942669353132846,5.747256897758061,5.86676657513996
Pop/Rock,6.886067686697785,7.844082629651166,0.0,5.775359632312278,6.558342479826282,6.1463972556645645,6.095128491128677,6.942534400954829,6.737971526956523,6.767602883857999,6.078139107891341,6.0242490345757345,5.593715796550917,6.243776117106265,6.3142448282753945,6.367846344138503,6.292295095369082,5.136618202027557,5.042369865827159,5.331163723778269,5.220708942129799,6.461209180776197,6.736001654721112,6.569921786343911,5.042632014039169,6.603818862437357,5.970523486599579,6.6661183309326475,6.570274095433531,6.699079409870617
Pop,3.7134938283052015,5.572109048452231,5.775359632312278,0.0,3.5123752646520168,3.1694092433757777,3.603432880088897,3.929414981361466,3.642236463364868,4.839336400034916,3.5611765190593303,3.0824161166832797,3.3248860608889292,2.7537598948737037,3.559364270651762,3.4234200520114766,3.1752824767947483,3.977879408913668,5.296585773012549,4.17502403231434,4.021947206074353,4.789426459141374,4.987063194135801,4.2573517231288,4.357238082338597,4.690287824166231,3.4541285569890303,4.443544549446991,3.941430781663008,4.443288567422874
Singer-Songwriter,1.4366631684397286,4.632458496259592,6.558342479826282,3.5123752646520168,0.0,3.1350711050296565,3.4934200014684573,1.8367230290300134,1.620668471552799,4.661136063138993,2.9995397940481783,3.6467763725536435,3.3975319639504824,3.635927027438761,4.25353511109211,2.0339824257996635,3.175634071155188,3.5904191055070456,5.348353872348463,3.562599247461757,3.4628387727893544,3.9468665717345046,4.118159536326783,3.565574648277927,3.9710412834320077,3.8320026998924983,1.9577434997462624,3.657967820057795,3.4616396017722835,3.5385034449398987
Electronic,3.705782594224325,5.170451853368372,6.1463972556645645,3.1694092433757777,3.1350711050296565,0.0,3.016590798473395,3.812806455592848,3.3159667354304747,4.885939240848181,2.961406164142172,2.898775538373237,3.2851808034688283,3.650862532475724,4.25279674028322,2.9210221238228207,3.5531699848369995,3.5278135329720834,5.0368227225439615,3.482570958202683,3.3744253410518854,4.392403242848248,4.533015671294542,3.922584201879837,3.792756473591586,4.249272271083892,2.7931014467244464,3.9342620247158857,3.707167158602787,3.8301007830560856
Club/Dance,3.965936539370166,5.605759144777565,6.095128491128677,3.603432880088897,3.4934200014684573,3.016590798473395,0.0,4.042720644419451,3.705532153971438,4.883890404127342,2.8509058335375403,2.807775291641722,2.977355292893636,3.389528339247459,4.155450654079733,2.4945306955831343,3.4324781578947126,3.3946004693599305,4.992948825930451,3.39521662020967,3.3013619904156597,4.427840850324148,4.525851513949075,3.960756177657334,3.693848832996614,4.23706768677434,2.8384872882922063,3.9796256696246513,3.640955772510964,3.8772410036488605
Alternative,1.5673769722397246,4.694892595803793,6.942534400954829,3.929414981361466,1.8367230290300134,3.812806455592848,4.042720644419451,0.0,1.8713778681423792,5.20379853665334,3.817000833320271,4.316829174098588,4.181939789279905,4.38458887692304,4.861756380533513,2.6965685565190936,4.003499840295983,4.346886087711866,5.870061268848408,4.3201922914449,4.265796081266012,4.613757787417046,4.781216595789945,4.302332974931719,4.6652715753030405,4.543732782637056,3.0656195924550067,4.370116468586266,4.205845720185609,4.272254630142287
Metal,1.7714162080574314,4.6400151831155485,6.737971526956523,3.642236463364868,1.620668471552799,3.3159667354304747,3.705532153971438,1.8713778681423792,0.0,4.813518238261106,3.1487936618602705,3.8805606190303297,3.577037907210166,3.8926908063273387,4.523870431869807,2.473782870618448,3.4804424401627028,3.7694562402667335,5.462474468394574,3.720048460289793,3.6562193963449845,4.139926626652648,4.371453487354786,3.772923911723898,4.1065611677772305,4.0752322151985965,2.458707868667602,3.8429585549692447,3.692372847286692,3.7291525081686507
Rap,5.152710364548319,6.4544736240150185,6.767602883857999,4.839336400034916,4.661136063138993,4.885939240848181,4.883890404127342,5.20379853665334,4.813518238261106,0.0,4.547234247995156,4.857025095833947,4.870865300976992,4.307528467318242,5.200345749118639,4.572076943561113,4.620430360961212,5.048646561629216,6.253088858517103,4.994693093079141,4.985355604018325,5.467566283149812,5.557494218357129,3.0985763305876786,5.212762119174052,5.345764261714152,4.494674196398205,3.272741690886595,3.6252403769809147,3.4222880007259042
Heavy Metal,3.807634599254528,5.479043726642459,6.078139107891341,3.5611765190593303,2.9995397940481783,2.961406164142172,2.8509058335375403,3.817000833320271,3.1487936618602705,4.547234247995156,0.0,2.5268299706682282,1.4833484875193697,3.1205621655230518,4.072927665380789,2.9609992199400073,3.077534176236309,1.932435471066148,3.9431655816180533,1.9474810533526188,1.7886622055385832,3.77797091310212,3.9336650792982204,3.4718319549336214,2.325568392785699,3.560290398985494,1.4175513913293594,3.3798576364651733,3.120628210150147,3.2654990848731056
Dance-Pop,4.274794789577941,5.675896330809416,6.0242490345757345,3.0824161166832797,3.6467763725536435,2.898775538373237,2.807775291641722,4.316829174098588,3.8805606190303297,4.857025095833947,2.5268299706682282,0.0,2.422559430925113,2.3723033189366816,3.2348318986519105,2.736822479827461,2.8060186995242113,3.012715488301351,4.826918950025021,3.4971234139785454,3.268251550432041,4.435077983950604,4.555707786678422,3.9697035908400395,3.7262328370266746,4.232558281805255,2.920235385278235,4.0574162142369925,3.224754666577256,3.9927462524790767
Contemporary Pop/Rock,4.153039274553445,5.747097236556946,5.593715796550917,3.3248860608889292,3.3975319639504824,3.2851808034688283,2.977355292893636,4.181939789279905,3.577037907210166,4.870865300976992,1.4833484875193697,2.422559430925113,0.0,3.036336069878427,3.8376543677486152,3.140348908609256,3.2239079696342126,1.9684271421149877,3.7087342182857306,2.365012269509389,1.9109664078743622,3.733480797909388,3.8183205640863522,3.894530398964217,2.5832536384388947,3.5915711880615246,2.0496290370172563,3.8281802046680085,3.433730965757731,3.716912188723089
Contemporary R&B,4.334946903663035,5.790031129971073,6.243776117106265,2.7537598948737037,3.635927027438761,3.650862532475724,3.389528339247459,4.38458887692304,3.8926908063273387,4.307528467318242,3.1205621655230518,2.3723033189366816,3.036336069878427,0.0,3.5946267694608784,3.0774772774861225,1.6351518941902503,3.66361927766144,5.357686330384263,3.8659934023707883,3.7671275490289293,4.565499505054716,4.672602851146245,3.575991770156636,4.175780455006089,4.388328638537551,3.198898576054207,3.7937477467339678,3.0355494357391946,3.804283044680288
R&B,4.80151010427736,6.043445369147673,6.3142448282753945,3.559364270651762,4.25353511109211,4.25279674028322,4.155450654079733,4.861756380533513,4.523870431869807,5.200345749118639,4.072927665380789,3.2348318986519105,3.8376543677486152,3.5946267694608784,0.0,3.783682664119435,3.8775724233333175,4.446131543747836,5.904102872199714,4.586179910211056,4.5326478754768535,5.138428122239609,5.23535042940435,4.305935217159336,4.891236985620145,4.973525696457818,4.072261047870791,4.549660647876757,3.7631457116436047,4.563781597125295
Dance,2.56273341120261,4.717230236164975,6.367846344138503,3.4234200520114766,2.0339824257996635,2.9210221238228207,2.4945306955831343,2.6965685565190936,2.473782870618448,4.572076943561113,2.9609992199400073,2.736822479827461,3.140348908609256,3.0774772774861225,3.783682664119435,0.0,2.8355670208545014,3.4070613050923986,5.333212507714675,3.5654445066359606,3.441192387219606,4.0488585684446186,4.189821346441193,3.4797891040809046,3.970614736945331,3.902223619096727,2.415258890683554,3.61152944232845,3.103312538331681,3.5112667912164395
Soul,3.935143855952661,5.548666625397448,6.292295095369082,3.1752824767947483,3.175634071155188,3.5531699848369995,3.4324781578947126,4.003499840295983,3.4804424401627028,4.620430360961212,3.077534176236309,2.8060186995242113,3.2239079696342126,1.6351518941902503,3.8775724233333175,2.8355670208545014,0.0,3.5056309846697653,5.291666566606335,3.654513456410666,3.546640996469953,4.2387489232986955,4.339332023519228,3.7441056991518398,3.9862010043009763,4.072616896215766,2.860203969580589,3.8668151919428646,3.334000700515051,3.7646813623691853
Adult Alternative Pop/Rock,4.30734201963193,5.880414324227818,5.136618202027557,3.977879408913668,3.5904191055070456,3.5278135329720834,3.3946004693599305,4.346886087711866,3.7694562402667335,5.048646561629216,1.932435471066148,3.012715488301351,1.9684271421149877,3.66361927766144,4.446131543747836,3.4070613050923986,3.5056309846697653,0.0,3.7382593897527676,1.4086843582024045,1.1517488242450884,4.223246345892126,4.430427329612474,4.065560838365795,1.5615173889573164,4.072836786782706,2.102400495750831,4.018615898883978,3.771137844992531,3.9313450466327438
Alternative/Indie Rock,5.811627570450086,7.078269630983136,5.042369865827159,5.296585773012549,5.348353872348463,5.0368227225439615,4.992948825930451,5.870061268848408,5.462474468394574,6.253088858517103,3.9431655816180533,4.826918950025021,3.7087342182857306,5.357686330384263,5.904102872199714,5.333212507714675,5.291666566606335,3.7382593897527676,0.0,3.560526994821504,3.3995464539527593,5.644428537450795,5.831613547283335,5.685675296066368,3.5228608768047893,5.607368790841244,4.208969403850058,5.560303075567772,5.445277436779892,5.479761528486027
Indie Rock,4.282150907967471,5.911315669731342,5.331163723778269,4.17502403231434,3.562599247461757,3.482570958202683,3.39521662020967,4.3201922914449,3.720048460289793,4.994693093079141,1.9474810533526188,3.4971234139785454,2.365012269509389,3.8659934023707883,4.586179910211056,3.5654445066359606,3.654513456410666,1.4086843582024045,3.560526994821504,0.0,1.0069566551440254,4.253729777148984,4.44491687898959,3.980438139800534,1.323427273911153,4.138752176579657,1.968949704745344,3.9297649396362266,3.7935080267801693,3.8550982960381277
Alternative Singer/Songwriter,4.2125115462687726,5.862427319925079,5.220708942129799,4.021947206074353,3.4628387727893544,3.3744253410518854,3.3013619904156597,4.265796081266012,3.6562193963449845,4.985355604018325,1.7886622055385832,3.268251550432041,1.9109664078743622,3.7671275490289293,4.5326478754768535,3.441192387219606,3.546640996469953,1.1517488242450884,3.3995464539527593,1.0069566551440254,0.0,4.168542958338454,4.327819046248086,3.9708969851248077,1.0064897790919782,4.0136849944643505,1.8561048698977018,3.913137176991327,3.738077345187393,3.819916812229907
Country,4.529971829972566,6.045644269745117,6.461209180776197,4.789426459141374,3.9468665717345046,4.392403242848248,4.427840850324148,4.613757787417046,4.139926626652648,5.467566283149812,3.77797091310212,4.435077983950604,3.733480797909388,4.565499505054716,5.138428122239609,4.0488585684446186,4.2387489232986955,4.223246345892126,5.644428537450795,4.253729777148984,4.168542958338454,0.0,3.3553927833476362,4.606045224211587,4.523964911713098,2.596064935448227,3.563168137593274,4.61848058253661,4.486334701815992,4.518629743612968
Contemporary Country,4.8029144167077105,6.17766059183494,6.736001654721112,4.987063194135801,4.118159536326783,4.533015671294542,4.525851513949075,4.781216595789945,4.371453487354786,5.557494218357129,3.9336650792982204,4.555707786678422,3.8183205640863522,4.672602851146245,5.23535042940435,4.189821346441193,4.339332023519228,4.430427329612474,5.831613547283335,4.44491687898959,4.327819046248086,3.3553927833476362,0.0,4.673945942934799,4.739920911184844,2.909255514480718,3.595881524724351,4.693920342492231,4.559092535470783,4.594680612061362
Contemporary Rap,4.237531070653959,5.89693637084293,6.569921786343911,4.2573517231288,3.565574648277927,3.922584201879837,3.960756177657334,4.302332974931719,3.772923911723898,3.0985763305876786,3.4718319549336214,3.9697035908400395,3.894530398964217,3.575991770156636,4.305935217159336,3.4797891040809046,3.7441056991518398,4.065560838365795,5.685675296066368,3.980438139800534,3.9708969851248077,4.606045224211587,4.673945942934799,0.0,4.332972714020376,4.400192027464306,3.327879150769813,1.3063623185191244,1.960823449352753,1.8900280918679693
Alternative Pop/Rock,4.611400982985847,6.142353812449768,5.042632014039169,4.357238082338597,3.9710412834320077,3.792756473591586,3.693848832996614,4.6652715753030405,4.1065611677772305,5.212762119174052,2.325568392785699,3.7262328370266746,2.5832536384388947,4.175780455006089,4.891236985620145,3.970614736945331,3.9862010043009763,1.5615173889573164,3.5228608768047893,1.323427273911153,1.0064897790919782,4.523964911713098,4.739920911184844,4.332972714020376,0.0,4.448253809684137,2.4488422430771264,4.253718965474878,4.111203339149429,4.1535923086346
Country-Pop,4.556796497131226,6.032269120593678,6.603818862437357,4.690287824166231,3.8320026998924983,4.249272271083892,4.23706768677434,4.543732782637056,4.0752322151985965,5.345764261714152,3.560290398985494,4.232558281805255,3.5915711880615246,4.388328638537551,4.973525696457818,3.902223619096727,4.072616896215766,4.072836786782706,5.607368790841244,4.138752176579657,4.0136849944643505,2.596064935448227,2.909255514480718,4.400192027464306,4.448253809684137,0.0,3.239270786307149,4.417654004312495,4.278489406434225,4.309796072345917
Folk,2.8799813376059955,4.919185117924708,5.970523486599579,3.4541285569890303,1.9577434997462624,2.7931014467244464,2.8384872882922063,3.0656195924550067,2.458707868667602,4.494674196398205,1.4175513913293594,2.920235385278235,2.0496290370172563,3.198898576054207,4.072261047870791,2.415258890683554,2.860203969580589,2.102400495750831,4.208969403850058,1.968949704745344,1.8561048698977018,3.563168137593274,3.595881524724351,3.327879150769813,2.4488422430771264,3.239270786307149,0.0,3.312495189646297,3.102781718727449,3.1835201812731038
Hardcore Rap,4.306736937906167,5.942669353132846,6.6661183309326475,4.443544549446991,3.657967820057795,3.9342620247158857,3.9796256696246513,4.370116468586266,3.8429585549692447,3.272741690886595,3.3798576364651733,4.0574162142369925,3.8281802046680085,3.7937477467339678,4.549660647876757,3.61152944232845,3.8668151919428646,4.018615898883978,5.560303075567772,3.9297649396362266,3.913137176991327,4.61848058253661,4.693920342492231,1.3063623185191244,4.253718965474878,4.417654004312495,3.312495189646297,0.0,2.0837642768029268,1.93052603243215
Pop-Rap,4.144953287652562,5.747256897758061,6.570274095433531,3.941430781663008,3.4616396017722835,3.707167158602787,3.640955772510964,4.205845720185609,3.692372847286692,3.6252403769809147,3.120628210150147,3.224754666577256,3.433730965757731,3.0355494357391946,3.7631457116436047,3.103312538331681,3.334000700515051,3.771137844992531,5.445277436779892,3.7935080267801693,3.738077345187393,4.486334701815992,4.559092535470783,1.960823449352753,4.111203339149429,4.278489406434225,3.102781718727449,2.0837642768029268,0.0,1.6841517610195091
Southern Rap,4.210281280261498,5.86676657513996,6.699079409870617,4.443288567422874,3.5385034449398987,3.8301007830560856,3.8772410036488605,4.272254630142287,3.7291525081686507,3.4222880007259042,3.2654990848731056,3.9927462524790767,3.716912188723089,3.804283044680288,4.563781597125295,3.5112667912164395,3.7646813623691853,3.9313450466327438,5.479761528486027,3.8550982960381277,3.819916812229907,4.518629743612968,4.594680612061362,1.8900280918679693,4.1535923086346,4.309796072345917,3.1835201812731038,1.93052603243215,1.6841517610195091,0.0
